"No.","Time","Source","Destination","Protocol","Length","Info"
"123","3.205845","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","240","Protected Payload (KP0)"
"124","3.205845","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"125","3.206238","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","140","Handshake, DCID=fbc94d3dd57b7dba"
"126","3.206425","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","93","Protected Payload (KP0), DCID=fbc94d3dd57b7dba"
"127","3.207159","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","636","Protected Payload (KP0), DCID=fbc94d3dd57b7dba"
"128","3.224064","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","136","64406  >  443 Len=74"
"129","3.225534","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","136","64406  >  443 Len=74"
"130","3.227559","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"131","3.228494","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","859","443  >  63671 Len=797"
"132","3.229194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"133","3.240636","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"134","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"135","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"136","3.247423","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","91","443  >  64406 Len=29"
"137","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"138","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1127","443  >  63671 Len=1065"
"139","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"140","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"141","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1127","443  >  63671 Len=1065"
"142","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"143","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"144","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"145","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"146","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"147","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"148","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","296","443  >  63671 Len=234"
"149","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"150","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"151","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"152","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"153","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"154","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","917","443  >  63671 Len=855"
"155","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1284","443  >  63671 Len=1222"
"156","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"157","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"158","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"159","3.247423","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"160","3.248173","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","94","63671  >  443 Len=32"
"161","3.248373","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","94","63671  >  443 Len=32"
"162","3.249479","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"163","3.249479","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","868","443  >  63671 Len=806"
"164","3.249479","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=dec57b2827c2c51a, PKN: 1, ACK, PADDING"
"165","3.249734","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","91","443  >  64406 Len=29"
"166","3.249734","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","91","443  >  64406 Len=29"
"167","3.249734","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","91","443  >  64406 Len=29"
"168","3.249876","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","95","64406  >  443 Len=33"
"169","3.250326","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","98","64406  >  443 Len=36"
"170","3.250723","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","98","64406  >  443 Len=36"
"171","3.257003","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  64406 Len=26"
"172","3.257641","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"173","3.257641","2800:3f0:4001:803::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","91","Protected Payload (KP0)"
"174","3.257851","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","94","Protected Payload (KP0), DCID=fbc94d3dd57b7dba"
"175","3.260684","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"176","3.264406","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"177","3.265224","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","854","Protected Payload (KP0)"
"178","3.265224","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","228","Protected Payload (KP0)"
"179","3.265224","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"180","3.265366","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","141","Handshake, DCID=dec57b2827c2c51a"
