"No.","Time","Source","Destination","Protocol","Length","Info"
"131","2.010495","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","1292","Initial, DCID=9603a32879ac4a8c, PKN: 1, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING"
"132","2.010895","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","142","0-RTT, DCID=9603a32879ac4a8c"
"133","2.011392","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","784","0-RTT, DCID=9603a32879ac4a8c"
"134","2.012930","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"135","2.013448","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"136","2.018390","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"137","2.022273","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"138","2.022631","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","852","Protected Payload (KP0)"
"139","2.022631","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","248","Protected Payload (KP0)"
"140","2.022631","2800:3f0:4001:820::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"141","2.022803","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","140","Handshake, DCID=f0e07a8e665624b8"
"142","2.022938","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","93","Protected Payload (KP0), DCID=f0e07a8e665624b8"
"143","2.023664","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"144","2.023848","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"145","2.050064","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200a","QUIC","94","Protected Payload (KP0), DCID=f0e07a8e665624b8"
"146","2.105912","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"147","2.105912","2800:3f0:4001:82d::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","74","443  >  58952 [ACK] Seq=1 Ack=772 Win=67328 Len=0"
"148","2.105912","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"149","2.106146","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"150","2.107952","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"151","2.107952","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"152","2.107952","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
"153","2.107952","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  54970 Len=1230"
